Chromosome Name	Strand	Ensembl Transcript ID	Ensembl Transcript ID	Transcript Start (bp)	Transcript End (bp)
19	-1	ENST00000324656	ENST00000324656	56122146	56122637
7	-1	ENST00000385510	ENST00000385510	156640208	156640286
12	1	ENST00000386484	ENST00000386484	118941086	118941448
11	1	ENST00000392776	ENST00000392776	122393557	122394582
11	1	ENST00000388666	ENST00000388666	122379514	122379581
2	1	ENST00000385493	ENST00000385493	155876308	155876378
2	1	ENST00000385494	ENST00000385494	155876249	155876307
2	1	ENST00000385498	ENST00000385498	155876181	155876247
2	-1	ENST00000385500	ENST00000385500	155828847	155828914
2	1	ENST00000385501	ENST00000385501	155828771	155828839
2	1	ENST00000385502	ENST00000385502	155828697	155828769
2	1	ENST00000385504	ENST00000385504	155828536	155828600
2	-1	ENST00000385505	ENST00000385505	155654197	155654299
2	1	ENST00000385506	ENST00000385506	155155166	155155255
3	1	ENST00000385650	ENST00000385650	184654615	184654744
17	-1	ENST00000408852	ENST00000408852	55594662	55594743
8	1	ENST00000363844	ENST00000363844	66667520	66667609
10	1	ENST00000410777	ENST00000410777	104275728	104275989
5	1	ENST00000384846	ENST00000384846	95440598	95440672
19	-1	ENST00000385000	ENST00000385000	3912412	3912510
15	1	ENST00000410778	ENST00000410778	28692208	28692486
X	1	ENST00000408802	ENST00000408802	36505391	36505486
1	1	ENST00000364072	ENST00000364072	199969157	199969256
17	1	ENST00000410779	ENST00000410779	26869570	26869865
10	-1	ENST00000384617	ENST00000384617	21893406	21893512
14	-1	ENST00000365312	ENST00000365312	63384732	63384833
11	-1	ENST00000388658	ENST00000388658	122102128	122102229
1	1	ENST00000361859	ENST00000361859	48674226	48675482
9	-1	ENST00000402945	ENST00000402945	29814756	29816709
11	1	ENST00000388645	ENST00000388645	121827391	121827519
11	1	ENST00000388639	ENST00000388639	121825136	121825251
2	1	ENST00000392840	ENST00000392840	152954437	152955395
1	-1	ENST00000363040	ENST00000363040	226832760	226832878
20	1	ENST00000408247	ENST00000408247	56613546	56613689
19	1	ENST00000365633	ENST00000365633	54685973	54686043
9	1	ENST00000408315	ENST00000408315	3456500	3456572
8	1	ENST00000408304	ENST00000408304	12479885	12480032
1	-1	ENST00000364855	ENST00000364855	8866073	8866179
3	1	ENST00000362606	ENST00000362606	48305081	48305188
c6_QBL	1	ENST00000383615	ENST00000383615	29989678	29992399
3	-1	ENST00000385668	ENST00000385668	184375418	184375489
1	1	ENST00000371862	ENST00000371862	48327585	48327797
6	1	ENST00000305402	ENST00000305402	99729326	99730110
9	-1	ENST00000408523	ENST00000408523	32698646	32698739
12	1	ENST00000392530	ENST00000392530	118117032	118117582
11	-1	ENST00000329573	ENST00000329573	120737769	120738782
10	-1	ENST00000404812	ENST00000404812	122104417	122104685
12	1	ENST00000386453	ENST00000386453	117916045	117916347
1	-1	ENST00000407884	ENST00000407884	933317	933472
10	1	ENST00000388446	ENST00000388446	121517754	121518044
2	1	ENST00000385507	ENST00000385507	151936772	151937044
3	1	ENST00000385679	ENST00000385679	183013896	183014184
6	-1	ENST00000392775	ENST00000392775	97203086	97203669
2	1	ENST00000392850	ENST00000392850	151750953	151751355
2	1	ENST00000385509	ENST00000385509	150927523	150927595
7	-1	ENST00000366161	ENST00000366161	153389490	153390028
6	-1	ENST00000386513	ENST00000386513	96492752	96493016
6	-1	ENST00000386576	ENST00000386576	95213700	95213768
6	-1	ENST00000386414	ENST00000386414	95213562	95213629
2	-1	ENST00000402278	ENST00000402278	149344063	149344420
8	-1	ENST00000384842	ENST00000384842	145091347	145091435
3	1	ENST00000384001	ENST00000384001	23290302	23290405
12	-1	ENST00000411150	ENST00000411150	38487164	38487243
NT_113958	1	ENST00000408815	ENST00000408815	45730	45811
15	-1	ENST00000391302	ENST00000391302	23805180	23805314
2	1	ENST00000411151	ENST00000411151	202906407	202906696
3	1	ENST00000392646	ENST00000392646	181413002	181413524
3	-1	ENST00000366441	ENST00000366441	181005294	181005703
7	1	ENST00000385511	ENST00000385511	152085680	152085969
6	-1	ENST00000392786	ENST00000392786	93858415	93859290
6	1	ENST00000386471	ENST00000386471	93556892	93557094
7	1	ENST00000385512	ENST00000385512	151923948	151924034
6	1	ENST00000386565	ENST00000386565	92506048	92506337
6	-1	ENST00000386551	ENST00000386551	92493544	92493610
3	1	ENST00000385711	ENST00000385711	180980038	180980200
9	-1	ENST00000411041	ENST00000411041	2152763	2152953
2	-1	ENST00000364218	ENST00000364218	174837852	174837955
17	-1	ENST00000390137	ENST00000390137	76714278	76714344
6	-1	ENST00000362588	ENST00000362588	121816826	121816966
4	1	ENST00000384469	ENST00000384469	40810716	40810819
7	1	ENST00000411042	ENST00000411042	12882834	12883096
7	1	ENST00000384614	ENST00000384614	64163812	64163945
X	-1	ENST00000365361	ENST00000365361	99964265	99964397
11	-1	ENST00000388604	ENST00000388604	118705039	118705229
11	-1	ENST00000388595	ENST00000388595	118704619	118704904
9	-1	ENST00000366105	ENST00000366105	138892211	138892487
11	-1	ENST00000354746	ENST00000354746	118697944	118698139
9	1	ENST00000407762	ENST00000407762	29626484	29626851
3	1	ENST00000392655	ENST00000392655	180826317	180826851
3	-1	ENST00000385712	ENST00000385712	180815259	180815360
2	1	ENST00000385516	ENST00000385516	147798009	147798113
6	-1	ENST00000386560	ENST00000386560	90767708	90767946
12	1	ENST00000386460	ENST00000386460	114639907	114640200
12	1	ENST00000386518	ENST00000386518	113659893	113660003
6	1	ENST00000386418	ENST00000386418	90589735	90589835
9	-1	ENST00000392891	ENST00000392891	138827058	138829812
7	1	ENST00000392794	ENST00000392794	151456985	151457708
1	1	ENST00000396322	ENST00000396322	46634119	46634336
2	-1	ENST00000385520	ENST00000385520	143574812	143574880
2	-1	ENST00000385521	ENST00000385521	143572868	143572935
12	-1	ENST00000388690	ENST00000388690	112870928	112871000
10	-1	ENST00000388430	ENST00000388430	120810487	120810613
2	-1	ENST00000385523	ENST00000385523	143572455	143572521
2	-1	ENST00000385524	ENST00000385524	143570728	143570796
7	-1	ENST00000385519	ENST00000385519	151396920	151397023
2	1	ENST00000385530	ENST00000385530	143566948	143567016
7	-1	ENST00000385522	ENST00000385522	151353212	151353493
2	-1	ENST00000385531	ENST00000385531	143565551	143565621
2	-1	ENST00000385535	ENST00000385535	143564541	143564607
10	-1	ENST00000388391	ENST00000388391	120535391	120535465
10	1	ENST00000320667	ENST00000320667	120393269	120393700
10	-1	ENST00000388384	ENST00000388384	119954514	119954675
3	1	ENST00000385725	ENST00000385725	180294385	180294489
2	-1	ENST00000385541	ENST00000385541	140698191	140698261
2	-1	ENST00000385544	ENST00000385544	140697147	140697215
2	-1	ENST00000385545	ENST00000385545	140695528	140695595
2	-1	ENST00000385546	ENST00000385546	140694558	140694601
2	-1	ENST00000385549	ENST00000385549	140694408	140694473
2	-1	ENST00000385550	ENST00000385550	140691609	140691676
2	1	ENST00000385551	ENST00000385551	140691532	140691599
2	1	ENST00000385552	ENST00000385552	140691457	140691520
2	1	ENST00000385556	ENST00000385556	140456723	140456957
3	1	ENST00000366442	ENST00000366442	178784487	178784722
2	1	ENST00000384544	ENST00000384544	215419916	215420050
3	1	ENST00000385765	ENST00000385765	176939753	176939856
6	-1	ENST00000410836	ENST00000410836	86579808	86579975
14	-1	ENST00000362658	ENST00000362658	102853010	102853126
NT_113871	-1	ENST00000410837	ENST00000410837	115122	115413
18	-1	ENST00000362503	ENST00000362503	28010011	28010129
2	1	ENST00000408252	ENST00000408252	80325259	80325354
2	-1	ENST00000320205	ENST00000320205	138762069	138762767
3	1	ENST00000392691	ENST00000392691	175577728	175578489
9	-1	ENST00000366106	ENST00000366106	138630582	138631119
10	1	ENST00000342942	ENST00000342942	118499551	118499928
6	-1	ENST00000386539	ENST00000386539	90068668	90068774
3	1	ENST00000385783	ENST00000385783	173903608	173903708
11	-1	ENST00000359641	ENST00000359641	118378881	118379120
11	1	ENST00000388580	ENST00000388580	118370594	118370680
11	1	ENST00000388544	ENST00000388544	118346418	118346511
11	1	ENST00000388541	ENST00000388541	118307131	118307396
10	1	ENST00000380054	ENST00000380054	118158759	118158975
10	1	ENST00000366109	ENST00000366109	117719904	117720162
6	1	ENST00000388700	ENST00000388700	88612087	88612384
6	1	ENST00000388686	ENST00000388686	88487352	88487454
3	-1	ENST00000385802	ENST00000385802	172042581	172042655
3	-1	ENST00000392716	ENST00000392716	171854329	171854742
9	-1	ENST00000406421	ENST00000406421	29244054	29244423
11	-1	ENST00000365382	ENST00000365382	122435253	122435340
7	-1	ENST00000362361	ENST00000362361	62273753	62273832
4	1	ENST00000411105	ENST00000411105	165761334	165761439
11	1	ENST00000411106	ENST00000411106	93167388	93167586
1	-1	ENST00000408099	ENST00000408099	211849662	211849806
19	1	ENST00000408621	ENST00000408621	58953298	58953384
4	1	ENST00000391188	ENST00000391188	53309061	53309183
1	1	ENST00000365157	ENST00000365157	153359590	153359698
19	1	ENST00000408416	ENST00000408416	12601548	12601599
Y	-1	ENST00000384261	ENST00000384261	4103026	4103131
14	1	ENST00000365423	ENST00000365423	100519016	100519087
2	-1	ENST00000392943	ENST00000392943	132197291	132198322
3	1	ENST00000333720	ENST00000333720	170909777	170910252
3	-1	ENST00000392735	ENST00000392735	170684153	170684502
2	1	ENST00000309504	ENST00000309504	131935060	131935638
2	1	ENST00000385614	ENST00000385614	131859603	131859674
2	-1	ENST00000385615	ENST00000385615	131859534	131859601
2	1	ENST00000385625	ENST00000385625	131856610	131856679
2	-1	ENST00000385626	ENST00000385626	131856541	131856608
2	-1	ENST00000385630	ENST00000385630	131854127	131854194
2	-1	ENST00000385634	ENST00000385634	131853719	131853784
2	-1	ENST00000385637	ENST00000385637	131846140	131846207
2	1	ENST00000385639	ENST00000385639	131843759	131843827
2	-1	ENST00000320501	ENST00000320501	131836999	131837763
10	-1	ENST00000386287	ENST00000386287	116173519	116173816
6	1	ENST00000388674	ENST00000388674	87849676	87849911
6	1	ENST00000388670	ENST00000388670	87202286	87202575
7	-1	ENST00000313192	ENST00000313192	150075080	150075746
1	-1	ENST00000365259	ENST00000365259	35666003	35666081
2	1	ENST00000385573	ENST00000385573	135610668	135610795
13	-1	ENST00000364285	ENST00000364285	101229234	101229399
6	1	ENST00000410598	ENST00000410598	90244579	90244869
11	-1	ENST00000363947	ENST00000363947	57550754	57550860
2	1	ENST00000410599	ENST00000410599	60721344	60721639
X	-1	ENST00000410600	ENST00000410600	62922607	62922692
10	-1	ENST00000408510	ENST00000408510	125660985	125661067
5	1	ENST00000410601	ENST00000410601	180661574	180661677
9	-1	ENST00000365377	ENST00000365377	45645235	45645346
14	1	ENST00000364448	ENST00000364448	100528009	100528080
14	1	ENST00000363962	ENST00000363962	100490464	100490538
2	-1	ENST00000384142	ENST00000384142	165252399	165252533
13	-1	ENST00000364820	ENST00000364820	101467304	101467420
12	-1	ENST00000365668	ENST00000365668	119213949	119214089
2	1	ENST00000384237	ENST00000384237	55366658	55366768
5	-1	ENST00000410602	ENST00000410602	141894004	141894094
6	1	ENST00000365473	ENST00000365473	149957454	149957588
1	-1	ENST00000385055	ENST00000385055	206042411	206042491
7	-1	ENST00000392866	ENST00000392866	149840679	149841666
2	1	ENST00000375923	ENST00000375923	131130769	131132169
2	-1	ENST00000375930	ENST00000375930	130937429	130937737
7	1	ENST00000385539	ENST00000385539	148927296	148927367
12	-1	ENST00000392641	ENST00000392641	110592037	110592570
7	-1	ENST00000385542	ENST00000385542	148734088	148734159
7	-1	ENST00000385543	ENST00000385543	148684678	148684753
17	1	ENST00000392994	ENST00000392994	56584011	56584752
17	-1	ENST00000388331	ENST00000388331	56393934	56394036
17	1	ENST00000388323	ENST00000388323	56218375	56218445
2	1	ENST00000385656	ENST00000385656	130754267	130754337
2	1	ENST00000385661	ENST00000385661	130754209	130754266
2	1	ENST00000385662	ENST00000385662	130754147	130754207
2	-1	ENST00000385682	ENST00000385682	130747699	130747771
2	1	ENST00000385685	ENST00000385685	130746454	130746521
2	1	ENST00000385687	ENST00000385687	130746315	130746383
3	1	ENST00000331839	ENST00000331839	168011639	168012070
3	-1	ENST00000385864	ENST00000385864	167870485	167870608
2	1	ENST00000392970	ENST00000392970	130703422	130705656
3	-1	ENST00000385874	ENST00000385874	167361600	167361667
3	-1	ENST00000385878	ENST00000385878	167361187	167361253
17	-1	ENST00000359713	ENST00000359713	55865866	55866442
10	1	ENST00000388352	ENST00000388352	115861163	115861266
9	1	ENST00000406550	ENST00000406550	5030945	5031940
9	-1	ENST00000401425	ENST00000401425	28588666	28589290
17	1	ENST00000388292	ENST00000388292	55659913	55659985
7	1	ENST00000385557	ENST00000385557	148218292	148218537
7	-1	ENST00000385558	ENST00000385558	148112330	148112418
6	1	ENST00000392887	ENST00000392887	86054163	86055450
2	-1	ENST00000385688	ENST00000385688	130583248	130583353
3	-1	ENST00000385890	ENST00000385890	162669666	162669747
7	1	ENST00000392888	ENST00000392888	147908426	147908825
7	1	ENST00000385566	ENST00000385566	147268029	147268326
1	1	ENST00000387737	ENST00000387737	45170582	45170685
18	-1	ENST00000408212	ENST00000408212	17284612	17284715
5	1	ENST00000384582	ENST00000384582	11080312	11080419
17	-1	ENST00000410497	ENST00000410497	4469793	4469896
10	-1	ENST00000362532	ENST00000362532	29203328	29203442
X	1	ENST00000390132	ENST00000390132	133638881	133638967
NT_113935	1	ENST00000384206	ENST00000384206	142668	142769
6	1	ENST00000384181	ENST00000384181	53192018	53192181
4	-1	ENST00000384750	ENST00000384750	41000011	41000111
3	1	ENST00000385891	ENST00000385891	161918921	161919005
21	-1	ENST00000363922	ENST00000363922	32671367	32671502
10	-1	ENST00000363227	ENST00000363227	35579893	35579986
8	-1	ENST00000411365	ENST00000411365	96760242	96760319
13	-1	ENST00000411366	ENST00000411366	94761085	94761210
1	-1	ENST00000384741	ENST00000384741	181217970	181218076
14	-1	ENST00000411367	ENST00000411367	96174284	96174604
X	1	ENST00000364796	ENST00000364796	28852102	28852176
X	-1	ENST00000384038	ENST00000384038	132493417	132493520
16	1	ENST00000362260	ENST00000362260	14310643	14310729
3	1	ENST00000391038	ENST00000391038	64472471	64472573
19	1	ENST00000384867	ENST00000384867	58870777	58870863
14	-1	ENST00000411368	ENST00000411368	73394517	73394621
12	1	ENST00000384407	ENST00000384407	49313323	49313426
2	-1	ENST00000401154	ENST00000401154	175740607	175740683
2	-1	ENST00000408663	ENST00000408663	161914974	161915117
10	1	ENST00000365427	ENST00000365427	94084200	94084301
7	1	ENST00000364696	ENST00000364696	37441243	37441344
4	-1	ENST00000411369	ENST00000411369	55776550	55776843
2	1	ENST00000408759	ENST00000408759	88847950	88848045
1	-1	ENST00000408651	ENST00000408651	166983658	166983744
1	1	ENST00000384703	ENST00000384703	12904961	12905067
6	1	ENST00000390707	ENST00000390707	130110570	130110659
5	-1	ENST00000410992	ENST00000410992	137432943	137433046
13	1	ENST00000362412	ENST00000362412	72058819	72058949
11	1	ENST00000410993	ENST00000410993	117443162	117443462
18	-1	ENST00000384217	ENST00000384217	43950153	43950259
7	-1	ENST00000324143	ENST00000324143	143083351	143085550
19	1	ENST00000366163	ENST00000366163	54260091	54260637
7	1	ENST00000385580	ENST00000385580	142981959	142982062
3	-1	ENST00000385916	ENST00000385916	161008977	161009053
19	-1	ENST00000366165	ENST00000366165	54220531	54221305
Y	1	ENST00000408079	ENST00000408079	18904127	18904221
21	1	ENST00000363092	ENST00000363092	17870987	17871095
19	1	ENST00000384667	ENST00000384667	22529903	22530009
9	1	ENST00000363632	ENST00000363632	37150134	37150234
13	-1	ENST00000390768	ENST00000390768	93915555	93915645
7	1	ENST00000411181	ENST00000411181	139716707	139716815
3	1	ENST00000383873	ENST00000383873	196416805	196416911
10	-1	ENST00000411182	ENST00000411182	69437483	69437780
9	-1	ENST00000390130	ENST00000390130	115594453	115594541
6	-1	ENST00000390214	ENST00000390214	153261262	153261363
7	1	ENST00000385584	ENST00000385584	142705732	142706027
10	1	ENST00000324307	ENST00000324307	114820980	114821437
2	-1	ENST00000385722	ENST00000385722	127765605	127765853
12	-1	ENST00000388628	ENST00000388628	108788409	108788697
12	-1	ENST00000388622	ENST00000388622	108711163	108711321
17	1	ENST00000388226	ENST00000388226	54383335	54383540
17	1	ENST00000388205	ENST00000388205	54268259	54268336
9	1	ENST00000402612	ENST00000402612	28138209	28139228
12	-1	ENST00000388609	ENST00000388609	108542430	108542519
7	-1	ENST00000390421	ENST00000390421	142220395	142221097
7	1	ENST00000390419	ENST00000390419	142205268	142205314
7	1	ENST00000390418	ENST00000390418	142205051	142205103
7	1	ENST00000390417	ENST00000390417	142204931	142204978
7	1	ENST00000390416	ENST00000390416	142204810	142204859
7	1	ENST00000390414	ENST00000390414	142204509	142204554
7	1	ENST00000390413	ENST00000390413	142204372	142204422
11	1	ENST00000388475	ENST00000388475	115696271	115696371
7	1	ENST00000390412	ENST00000390412	142204177	142204226
7	1	ENST00000390406	ENST00000390406	142196037	142196087
7	1	ENST00000390405	ENST00000390405	142195442	142195491
2	-1	ENST00000385754	ENST00000385754	125154971	125155040
7	1	ENST00000390403	ENST00000390403	142194692	142194739
7	1	ENST00000390401	ENST00000390401	142127703	142128316
6	1	ENST00000388559	ENST00000388559	76859271	76859377
6	-1	ENST00000388552	ENST00000388552	76803795	76803931
7	1	ENST00000390398	ENST00000390398	142058172	142058639
7	1	ENST00000390394	ENST00000390394	142015233	142015905
10	1	ENST00000388318	ENST00000388318	112326109	112326208
6	1	ENST00000388542	ENST00000388542	76632401	76632501
6	-1	ENST00000388539	ENST00000388539	76631692	76631772
6	-1	ENST00000388532	ENST00000388532	76534496	76534595
7	1	ENST00000390390	ENST00000390390	141981607	141982075
7	1	ENST00000390389	ENST00000390389	141976532	141976964
7	1	ENST00000390388	ENST00000390388	141969589	141970035
8	-1	ENST00000363849	ENST00000363849	28961930	28962040
7	1	ENST00000390385	ENST00000390385	141943473	141943910
7	1	ENST00000390384	ENST00000390384	141932825	141933274
7	1	ENST00000390383	ENST00000390383	141924413	141924896
7	1	ENST00000390382	ENST00000390382	141917894	141918366
7	1	ENST00000390381	ENST00000390381	141908693	141909159
7	1	ENST00000390380	ENST00000390380	141900477	141900960
7	1	ENST00000390378	ENST00000390378	141888557	141889023
7	1	ENST00000390376	ENST00000390376	141875852	141876280
7	1	ENST00000390374	ENST00000390374	141860651	141861143
7	1	ENST00000390372	ENST00000390372	141851028	141851492
2	-1	ENST00000315425	ENST00000315425	120695970	120697022
2	1	ENST00000385789	ENST00000385789	120689165	120689235
2	1	ENST00000385791	ENST00000385791	120689107	120689164
11	1	ENST00000388445	ENST00000388445	112986610	112986679
2	1	ENST00000385794	ENST00000385794	120687323	120687389
11	-1	ENST00000388443	ENST00000388443	112938206	112938288
2	1	ENST00000385799	ENST00000385799	120686913	120686980
7	1	ENST00000390369	ENST00000390369	141823636	141824097
7	1	ENST00000390366	ENST00000390366	141793461	141793910
7	1	ENST00000390365	ENST00000390365	141776154	141776601
7	1	ENST00000390364	ENST00000390364	141768395	141768844
17	1	ENST00000320107	ENST00000320107	53589359	53590164
7	1	ENST00000390363	ENST00000390363	141760404	141760878
7	1	ENST00000390360	ENST00000390360	141749279	141749713
7	1	ENST00000390359	ENST00000390359	141720969	141721465
6	1	ENST00000386358	ENST00000386358	76359491	76359551
6	-1	ENST00000388499	ENST00000388499	76165296	76165503
2	1	ENST00000385804	ENST00000385804	120391364	120391456
2	1	ENST00000385806	ENST00000385806	120345467	120345630
3	-1	ENST00000385978	ENST00000385978	154334698	154335000
7	1	ENST00000390357	ENST00000390357	141709095	141709548
7	1	ENST00000390356	ENST00000390356	141695655	141696087
7	1	ENST00000390355	ENST00000390355	141691835	141692288
7	1	ENST00000390354	ENST00000390354	141678521	141679009
7	1	ENST00000390353	ENST00000390353	141674660	141675092
17	1	ENST00000361015	ENST00000361015	52710674	52711053
11	-1	ENST00000388431	ENST00000388431	112053855	112053924
7	1	ENST00000390351	ENST00000390351	141659531	141659984
7	1	ENST00000390350	ENST00000390350	141654907	141655366
11	-1	ENST00000393026	ENST00000393026	111643223	111644304
17	1	ENST00000388118	ENST00000388118	52651495	52651556
7	-1	ENST00000385599	ENST00000385599	141148667	141148734
3	1	ENST00000326118	ENST00000326118	152480500	152480815
2	1	ENST00000385810	ENST00000385810	119643868	119644161
7	-1	ENST00000385628	ENST00000385628	139721834	139721935
7	1	ENST00000385632	ENST00000385632	139716708	139716796
2	1	ENST00000385816	ENST00000385816	118490429	118490715
9	-1	ENST00000402391	ENST00000402391	27598385	27600743
11	-1	ENST00000388378	ENST00000388378	111197118	111197595
3	-1	ENST00000386021	ENST00000386021	151278206	151278308
1	-1	ENST00000363840	ENST00000363840	172099907	172099983
4	-1	ENST00000384655	ENST00000384655	53826385	53826491
15	-1	ENST00000408347	ENST00000408347	51017859	51017946
X	1	ENST00000383912	ENST00000383912	21800746	21800847
19	-1	ENST00000391892	ENST00000391892	52989535	52989971
3	-1	ENST00000386025	ENST00000386025	151117840	151117926
2	-1	ENST00000385830	ENST00000385830	117500415	117500481
9	1	ENST00000318052	ENST00000318052	134884659	134886082
2	1	ENST00000385850	ENST00000385850	117498913	117498981
2	1	ENST00000385854	ENST00000385854	117497887	117497961
2	1	ENST00000385859	ENST00000385859	117496260	117496328
2	1	ENST00000385863	ENST00000385863	117495240	117495310
12	-1	ENST00000388540	ENST00000388540	106189230	106189301
3	-1	ENST00000392902	ENST00000392902	150557682	150558022
2	-1	ENST00000385876	ENST00000385876	115411488	115411751
2	-1	ENST00000385880	ENST00000385880	114755131	114755222
17	1	ENST00000390234	ENST00000390234	11925941	11926038
11	1	ENST00000384249	ENST00000384249	3900373	3900509
9	1	ENST00000385779	ENST00000385779	134719026	134719090
2	-1	ENST00000385886	ENST00000385886	114322182	114322283
11	1	ENST00000366160	ENST00000366160	108334980	108335354
7	-1	ENST00000385660	ENST00000385660	137817767	137817868
7	1	ENST00000385689	ENST00000385689	137426517	137426727
c6_QBL	1	ENST00000407323	ENST00000407323	33277271	33279173
5	1	ENST00000401227	ENST00000401227	170194977	170195047
X	1	ENST00000364790	ENST00000364790	5338163	5338292
7	-1	ENST00000365464	ENST00000365464	114041078	114041197
14	1	ENST00000363536	ENST00000363536	100519966	100520037
X	-1	ENST00000364570	ENST00000364570	134389759	134389876
20	-1	ENST00000365390	ENST00000365390	17504851	17505155
16	1	ENST00000410975	ENST00000410975	65610923	65611219
10	1	ENST00000384851	ENST00000384851	76982222	76982317
15	1	ENST00000410976	ENST00000410976	73372069	73372334
5	1	ENST00000384231	ENST00000384231	87714345	87714480
10	-1	ENST00000391094	ENST00000391094	95260315	95260427
22	-1	ENST00000384843	ENST00000384843	19718465	19718561
5	1	ENST00000363778	ENST00000363778	175063507	175063613
10	1	ENST00000410977	ENST00000410977	35271903	35272007
8	-1	ENST00000362782	ENST00000362782	136823768	136823920
9	-1	ENST00000365282	ENST00000365282	44959788	44959899
2	1	ENST00000363952	ENST00000363952	222977948	222978058
1	-1	ENST00000365393	ENST00000365393	78333076	78333190
6	-1	ENST00000362845	ENST00000362845	18381375	18381476
3	1	ENST00000408658	ENST00000408658	47866049	47866123
10	1	ENST00000364210	ENST00000364210	104618168	104618266
1	-1	ENST00000384178	ENST00000384178	178754775	178754878
1	-1	ENST00000408105	ENST00000408105	70756217	70756334
1	-1	ENST00000401325	ENST00000401325	46778603	46778693
9	1	ENST00000410978	ENST00000410978	33646498	33646965
5	1	ENST00000362598	ENST00000362598	156173719	156173823
X	1	ENST00000410979	ENST00000410979	95165015	95165314
7	1	ENST00000410980	ENST00000410980	137510331	137510422
12	1	ENST00000401125	ENST00000401125	72579917	72579999
17	1	ENST00000410981	ENST00000410981	15252426	15252728
8	-1	ENST00000408662	ENST00000408662	56752346	56752437
18	1	ENST00000410982	ENST00000410982	32098750	32098888
10	-1	ENST00000362985	ENST00000362985	27417256	27417362
17	-1	ENST00000365381	ENST00000365381	7110098	7110209
18	1	ENST00000408514	ENST00000408514	38162	38272
13	1	ENST00000365552	ENST00000365552	57463485	57463599
20	1	ENST00000408821	ENST00000408821	19269940	19270016
4	1	ENST00000364948	ENST00000364948	170162975	170163070
22	1	ENST00000410983	ENST00000410983	29147034	29147137
