Chromosome	Strand	CpG Island ID	Segment ID	CpG Island Start (bp)	CpG Island End (bp)
1	NA	152_CpG:28_strong-island	152_CpG:28_strong-island	42750919	42751329
1	NA	153_CpG:44_strong-island	153_CpG:44_strong-island	42751578	42752106
1	NA	154_CpG:158_strong-island	154_CpG:158_strong-island	42753419	42755502
1	NA	155_CpG:36_weak-island	155_CpG:36_weak-island	42907984	42908527
1	NA	156_CpG:53_strong-island	156_CpG:53_strong-island	43009637	43010388
1	NA	157_CpG:57_strong-island	157_CpG:57_strong-island	43149092	43149661
1	NA	158_CpG:46_strong-island	158_CpG:46_strong-island	43155325	43155799
1	NA	159_CpG:42_strong-island	159_CpG:42_strong-island	43220573	43220925
1	NA	160_CpG:67_strong-island	160_CpG:67_strong-island	43502691	43503413
1	NA	161_CpG:22_weak-island	161_CpG:22_weak-island	43610709	43611030
1	NA	162_CpG:95_strong-island	162_CpG:95_strong-island	43884159	43884980
1	NA	163_CpG:86_strong-island	163_CpG:86_strong-island	43990497	43991395
1	NA	164_CpG:99_strong-island	164_CpG:99_strong-island	44158780	44159603
1	NA	165_CpG:58_strong-island	165_CpG:58_strong-island	44204455	44205058
1	NA	166_CpG:63_weak-island	166_CpG:63_weak-island	44608423	44609336
1	NA	167_CpG:47_strong-island	167_CpG:47_strong-island	45852220	45852602
1	NA	168_CpG:20_weak-island	168_CpG:20_weak-island	46482305	46482551
1	NA	169_CpG:168_strong-island	169_CpG:168_strong-island	46909541	46910898
1	NA	170_CpG:77_weak-island	170_CpG:77_weak-island	50983891	50984906
1	NA	171_CpG:48_strong-island	171_CpG:48_strong-island	51535003	51535465
1	NA	172_CpG:110_strong-island	172_CpG:110_strong-island	51972027	51973038
1	NA	173_CpG:31_strong-island	173_CpG:31_strong-island	52170552	52170839
1	NA	174_CpG:39_weak-island	174_CpG:39_weak-island	52176137	52176581
1	NA	175_CpG:120_strong-island	175_CpG:120_strong-island	52289051	52290347
1	NA	176_CpG:25_strong-island	176_CpG:25_strong-island	52556875	52557096
1	NA	177_CpG:36_strong-island	177_CpG:36_strong-island	52557352	52557671
1	NA	178_CpG:44_strong-island	178_CpG:44_strong-island	52687385	52687786
1	NA	179_CpG:76_strong-island	179_CpG:76_strong-island	52783635	52784373
1	NA	180_CpG:59_weak-island	180_CpG:59_weak-island	52874050	52874706
1	NA	181_CpG:28_weak-island	181_CpG:28_weak-island	53009470	53009801
1	NA	182_CpG:63_strong-island	182_CpG:63_strong-island	53353632	53354223
1	NA	183_CpG:33_strong-island	183_CpG:33_strong-island	53409308	53409621
1	NA	184_CpG:29_strong-island	184_CpG:29_strong-island	53763367	53763723
1	NA	185_CpG:75_strong-island	185_CpG:75_strong-island	53841613	53842213
1	NA	186_CpG:120_strong-island	186_CpG:120_strong-island	54251186	54252086
1	NA	187_CpG:19_weak-island	187_CpG:19_weak-island	54307413	54307644
1	NA	188_CpG:28_strong-island	188_CpG:28_strong-island	54495601	54495903
1	NA	189_CpG:49_strong-island	189_CpG:49_strong-island	54614099	54614649
1	NA	190_CpG:106_strong-island	190_CpG:106_strong-island	54982569	54983461
1	NA	191_CpG:17_weak-island	191_CpG:17_weak-island	55014074	55014341
1	NA	192_CpG:87_strong-island	192_CpG:87_strong-island	55083717	55084449
1	NA	193_CpG:90_strong-island	193_CpG:90_strong-island	55109351	55110141
1	NA	194_CpG:125_strong-island	194_CpG:125_strong-island	55144254	55145484
1	NA	195_CpG:74_strong-island	195_CpG:74_strong-island	55187901	55188617
1	NA	196_CpG:93_strong-island	196_CpG:93_strong-island	55293829	55294660
1	NA	197_CpG:115_strong-island	197_CpG:115_strong-island	55419325	55420501
1	NA	198_CpG:109_strong-island	198_CpG:109_strong-island	55462426	55463492
1	NA	199_CpG:28_strong-island	199_CpG:28_strong-island	57026463	57026717
1	NA	200_CpG:24_strong-island	200_CpG:24_strong-island	57027702	57027963
1	NA	201_CpG:176_strong-island	201_CpG:176_strong-island	57028353	57030345
1	NA	202_CpG:25_strong-island	202_CpG:25_strong-island	57033948	57034236
1	NA	203_CpG:67_strong-island	203_CpG:67_strong-island	57434318	57434863
1	NA	204_CpG:74_weak-island	204_CpG:74_weak-island	57462981	57463911
1	NA	205_CpG:108_strong-island	205_CpG:108_strong-island	57831542	57832476
1	NA	206_CpG:56_strong-island	206_CpG:56_strong-island	58026577	58027089
1	NA	207_CpG:46_strong-island	207_CpG:46_strong-island	58052707	58053097
1	NA	208_CpG:95_strong-island	208_CpG:95_strong-island	58449592	58450741
1	NA	209_CpG:80_strong-island	209_CpG:80_strong-island	58480187	58480974
1	NA	210_CpG:31_weak-island	210_CpG:31_weak-island	58501925	58502389
1	NA	211_CpG:65_strong-island	211_CpG:65_strong-island	58561387	58562006
1	NA	212_CpG:40_strong-island	212_CpG:40_strong-island	58642763	58643271
1	NA	213_CpG:40_strong-island	213_CpG:40_strong-island	58768286	58768608
1	NA	214_CpG:21_strong-island	214_CpG:21_strong-island	58770228	58770501
1	NA	215_CpG:28_strong-island	215_CpG:28_strong-island	58852426	58852696
1	NA	216_CpG:83_weak-island	216_CpG:83_weak-island	59030054	59030961
1	NA	217_CpG:68_strong-island	217_CpG:68_strong-island	59176666	59177324
1	NA	218_CpG:61_strong-island	218_CpG:61_strong-island	59293763	59294337
1	NA	219_CpG:185_strong-island	219_CpG:185_strong-island	59538795	59540781
1	NA	220_CpG:20_strong-island	220_CpG:20_strong-island	59727540	59727744
1	NA	221_CpG:35_strong-island	221_CpG:35_strong-island	59741700	59742059
1	NA	222_CpG:142_strong-island	222_CpG:142_strong-island	59819629	59821057
1	NA	223_CpG:118_strong-island	223_CpG:118_strong-island	59969392	59970734
1	NA	224_CpG:81_strong-island	224_CpG:81_strong-island	60099490	60100343
1	NA	225_CpG:62_strong-island	225_CpG:62_strong-island	60155000	60155621
1	NA	226_CpG:30_strong-island	226_CpG:30_strong-island	60237058	60237333
1	NA	227_CpG:51_strong-island	227_CpG:51_strong-island	60400099	60400501
1	NA	228_CpG:103_strong-island	228_CpG:103_strong-island	60466122	60467095
1	NA	229_CpG:139_strong-island	229_CpG:139_strong-island	60623026	60624104
1	NA	230_CpG:78_strong-island	230_CpG:78_strong-island	61685310	61685980
1	NA	231_CpG:86_strong-island	231_CpG:86_strong-island	62749412	62750322
1	NA	232_CpG:88_weak-island	232_CpG:88_weak-island	62752424	62753606
1	NA	233_CpG:77_strong-island	233_CpG:77_strong-island	63160059	63160923
1	NA	234_CpG:78_strong-island	234_CpG:78_strong-island	63223121	63224001
1	NA	235_CpG:44_strong-island	235_CpG:44_strong-island	63294863	63295189
1	NA	236_CpG:90_strong-island	236_CpG:90_strong-island	63319637	63320487
1	NA	237_CpG:17_weak-island	237_CpG:17_weak-island	63411858	63412063
1	NA	238_CpG:95_strong-island	238_CpG:95_strong-island	63492289	63493103
1	NA	239_CpG:56_strong-island	239_CpG:56_strong-island	64168187	64168716
1	NA	240_CpG:131_strong-island	240_CpG:131_strong-island	64578941	64580312
1	NA	241_CpG:83_strong-island	241_CpG:83_strong-island	64663519	64664366
1	NA	242_CpG:108_strong-island	242_CpG:108_strong-island	64737108	64738159
1	NA	243_CpG:241_weak-island	243_CpG:241_weak-island	64781421	64784553
1	NA	244_CpG:41_strong-island	244_CpG:41_strong-island	65003072	65003444
1	NA	245_CpG:21_strong-island	245_CpG:21_strong-island	65040979	65041201
1	NA	246_CpG:38_weak-island	246_CpG:38_weak-island	65225478	65225947
1	NA	247_CpG:59_strong-island	247_CpG:59_strong-island	65232953	65233627
1	NA	248_CpG:29_weak-island	248_CpG:29_weak-island	66221885	66222219
1	NA	249_CpG:68_strong-island	249_CpG:68_strong-island	66514596	66515197
1	NA	250_CpG:17_strong-island	250_CpG:17_strong-island	66723975	66724213
1	NA	251_CpG:60_strong-island	251_CpG:60_strong-island	66747326	66747925
1	NA	252_CpG:132_strong-island	252_CpG:132_strong-island	66863010	66864441
1	NA	253_CpG:31_strong-island	253_CpG:31_strong-island	66909413	66909720
1	NA	254_CpG:42_strong-island	254_CpG:42_strong-island	67085094	67085511
1	NA	255_CpG:91_weak-island	255_CpG:91_weak-island	69153608	69154629
1	NA	256_CpG:16_weak-island	256_CpG:16_weak-island	69423569	69423792
1	NA	257_CpG:20_weak-island	257_CpG:20_weak-island	69424377	69424619
1	NA	258_CpG:35_strong-island	258_CpG:35_strong-island	69873437	69873776
1	NA	259_CpG:72_strong-island	259_CpG:72_strong-island	71148978	71149794
1	NA	260_CpG:40_weak-island	260_CpG:40_weak-island	71603522	71603941
1	NA	261_CpG:58_weak-island	261_CpG:58_weak-island	71699271	71699932
1	NA	262_CpG:65_strong-island	262_CpG:65_strong-island	72258323	72258996
1	NA	263_CpG:31_strong-island	263_CpG:31_strong-island	72272508	72272792
1	NA	264_CpG:48_strong-island	264_CpG:48_strong-island	72282977	72283498
1	NA	265_CpG:39_strong-island	265_CpG:39_strong-island	72290396	72290771
1	NA	266_CpG:25_strong-island	266_CpG:25_strong-island	72301319	72301560
1	NA	267_CpG:22_weak-island	267_CpG:22_weak-island	72582726	72582963
1	NA	268_CpG:22_weak-island	268_CpG:22_weak-island	72583535	72583791
1	NA	269_CpG:46_strong-island	269_CpG:46_strong-island	72687367	72687954
1	NA	270_CpG:72_strong-island	270_CpG:72_strong-island	72757435	72758292
1	NA	271_CpG:32_strong-island	271_CpG:32_strong-island	72871267	72871511
1	NA	272_CpG:20_weak-island	272_CpG:20_weak-island	72871936	72872227
1	NA	273_CpG:27_strong-island	273_CpG:27_strong-island	72920272	72920540
1	NA	274_CpG:27_strong-island	274_CpG:27_strong-island	73953845	73954077
1	NA	275_CpG:29_weak-island	275_CpG:29_weak-island	74083526	74083822
1	NA	276_CpG:35_weak-island	276_CpG:35_weak-island	74115066	74115549
1	NA	277_CpG:48_weak-island	277_CpG:48_weak-island	74144787	74145360
1	NA	278_CpG:65_strong-island	278_CpG:65_strong-island	74170818	74171497
1	NA	279_CpG:52_strong-island	279_CpG:52_strong-island	74283154	74283767
1	NA	280_CpG:61_strong-island	280_CpG:61_strong-island	74331037	74331709
1	NA	281_CpG:50_strong-island	281_CpG:50_strong-island	74350440	74350929
1	NA	282_CpG:38_strong-island	282_CpG:38_strong-island	74379023	74379398
1	NA	283_CpG:93_strong-island	283_CpG:93_strong-island	74437906	74439004
1	NA	284_CpG:112_strong-island	284_CpG:112_strong-island	74552035	74553393
1	NA	285_CpG:62_weak-island	285_CpG:62_weak-island	74634207	74635046
1	NA	286_CpG:27_strong-island	286_CpG:27_strong-island	74647668	74648033
1	NA	287_CpG:56_strong-island	287_CpG:56_strong-island	74708246	74708738
1	NA	288_CpG:20_weak-island	288_CpG:20_weak-island	74760192	74760405
1	NA	289_CpG:25_weak-island	289_CpG:25_weak-island	74795306	74795619
1	NA	290_CpG:55_strong-island	290_CpG:55_strong-island	74818260	74818783
1	NA	291_CpG:24_weak-island	291_CpG:24_weak-island	74829243	74829598
1	NA	292_CpG:67_strong-island	292_CpG:67_strong-island	74830609	74831190
1	NA	293_CpG:44_weak-island	293_CpG:44_weak-island	74838307	74838816
1	NA	294_CpG:22_strong-island	294_CpG:22_strong-island	74847111	74847318
1	NA	295_CpG:43_strong-island	295_CpG:43_strong-island	74849778	74850183
1	NA	296_CpG:25_strong-island	296_CpG:25_strong-island	74863518	74863761
1	NA	297_CpG:149_strong-island	297_CpG:149_strong-island	74901433	74903043
1	NA	298_CpG:16_strong-island	298_CpG:16_strong-island	74905042	74905258
1	NA	299_CpG:60_strong-island	299_CpG:60_strong-island	74928521	74929186
1	NA	300_CpG:95_weak-island	300_CpG:95_weak-island	74930875	74932187
1	NA	301_CpG:33_weak-island	301_CpG:33_weak-island	74939299	74939710
1	NA	302_CpG:48_strong-island	302_CpG:48_strong-island	74947129	74947558
1	NA	303_CpG:126_strong-island	303_CpG:126_strong-island	74997205	74998667
1	NA	304_CpG:38_strong-island	304_CpG:38_strong-island	75121313	75121723
1	NA	305_CpG:132_strong-island	305_CpG:132_strong-island	75138006	75139764
1	NA	306_CpG:42_strong-island	306_CpG:42_strong-island	75165132	75165516
1	NA	307_CpG:27_strong-island	307_CpG:27_strong-island	75207379	75207640
1	NA	308_CpG:66_strong-island	308_CpG:66_strong-island	75215787	75216557
1	NA	309_CpG:47_weak-island	309_CpG:47_weak-island	75232994	75233535
1	NA	310_CpG:17_weak-island	310_CpG:17_weak-island	75248328	75248539
1	NA	311_CpG:98_strong-island	311_CpG:98_strong-island	75313680	75314644
1	NA	312_CpG:71_strong-island	312_CpG:71_strong-island	75356930	75357545
1	NA	313_CpG:17_strong-island	313_CpG:17_strong-island	75366147	75366363
1	NA	314_CpG:47_weak-island	314_CpG:47_weak-island	75371800	75372361
1	NA	315_CpG:36_strong-island	315_CpG:36_strong-island	75378499	75378962
1	NA	316_CpG:21_weak-island	316_CpG:21_weak-island	75381493	75381755
1	NA	317_CpG:107_weak-island	317_CpG:107_weak-island	75384560	75385679
1	NA	318_CpG:120_weak-island	318_CpG:120_weak-island	75418563	75420015
1	NA	319_CpG:22_strong-island	319_CpG:22_strong-island	75446951	75447255
1	NA	320_CpG:20_strong-island	320_CpG:20_strong-island	75455133	75455347
1	NA	321_CpG:16_weak-island	321_CpG:16_weak-island	75471618	75471827
1	NA	322_CpG:20_strong-island	322_CpG:20_strong-island	75472493	75472725
1	NA	323_CpG:117_weak-island	323_CpG:117_weak-island	75475244	75476361
1	NA	324_CpG:27_weak-island	324_CpG:27_weak-island	75479220	75479594
1	NA	325_CpG:20_strong-island	325_CpG:20_strong-island	75483285	75483523
1	NA	326_CpG:50_strong-island	326_CpG:50_strong-island	75484211	75484653
1	NA	327_CpG:21_strong-island	327_CpG:21_strong-island	75500297	75500536
1	NA	328_CpG:138_strong-island	328_CpG:138_strong-island	75501776	75502959
1	NA	329_CpG:43_strong-island	329_CpG:43_strong-island	75518006	75518560
1	NA	330_CpG:54_weak-island	330_CpG:54_weak-island	75542839	75543331
1	NA	331_CpG:77_weak-island	331_CpG:77_weak-island	77510924	77512028
1	NA	332_CpG:26_strong-island	332_CpG:26_strong-island	78186140	78186404
1	NA	333_CpG:49_weak-island	333_CpG:49_weak-island	78193206	78193862
1	NA	334_CpG:25_strong-island	334_CpG:25_strong-island	78200411	78200764
1	NA	335_CpG:23_strong-island	335_CpG:23_strong-island	78212532	78212817
1	NA	336_CpG:113_strong-island	336_CpG:113_strong-island	78213119	78214372
1	NA	337_CpG:68_strong-island	337_CpG:68_strong-island	78306638	78307313
1	NA	338_CpG:43_strong-island	338_CpG:43_strong-island	78485058	78485491
1	NA	339_CpG:20_weak-island	339_CpG:20_weak-island	78508402	78508645
1	NA	340_CpG:117_strong-island	340_CpG:117_strong-island	78654197	78655124
1	NA	341_CpG:33_strong-island	341_CpG:33_strong-island	79668149	79668512
1	NA	342_CpG:61_strong-island	342_CpG:61_strong-island	79757826	79758408
1	NA	343_CpG:37_strong-island	343_CpG:37_strong-island	79772558	79772961
1	NA	344_CpG:90_strong-island	344_CpG:90_strong-island	79854768	79855581
1	NA	345_CpG:78_strong-island	345_CpG:78_strong-island	80754646	80755360
1	NA	346_CpG:30_weak-island	346_CpG:30_weak-island	82279758	82280133
1	NA	347_CpG:127_strong-island	347_CpG:127_strong-island	82286770	82288397
1	NA	2_CpG:56_strong-island	2_CpG:56_strong-island	82313020	82313491
1	NA	348_CpG:43_strong-island	348_CpG:43_strong-island	82721367	82721756
1	NA	349_CpG:109_strong-island	349_CpG:109_strong-island	82835903	82836895
1	NA	350_CpG:31_strong-island	350_CpG:31_strong-island	84280891	84281187
1	NA	351_CpG:27_strong-island	351_CpG:27_strong-island	84692073	84692320
1	NA	352_CpG:159_strong-island	352_CpG:159_strong-island	84835029	84836875
1	NA	353_CpG:47_strong-island	353_CpG:47_strong-island	84931147	84931629
1	NA	354_CpG:135_strong-island	354_CpG:135_strong-island	87689902	87691066
1	NA	355_CpG:43_strong-island	355_CpG:43_strong-island	87791049	87791481
1	NA	356_CpG:53_strong-island	356_CpG:53_strong-island	87914864	87915411
1	NA	357_CpG:105_strong-island	357_CpG:105_strong-island	87942431	87943158
