Chromosome	Strand	Annotation ID	Segment ID	Start (bp)	End (bp)
1	1	ENSMUST00000170793	ENSMUSG00000056211	129997900	129999900
1	-1	ENSMUST00000062108	ENSMUSG00000042349	133149173	133151173
1	-1	ENSMUST00000161764	ENSMUSG00000042349	133149178	133151178
1	1	ENSMUST00000135222	ENSMUSG00000070644	135258148	135260148
1	1	ENSMUST00000147909	ENSMUSG00000070644	135258152	135260152
1	1	ENSMUST00000129213	ENSMUSG00000070644	135259908	135261908
1	1	ENSMUST00000131450	ENSMUSG00000070644	135261863	135263863
1	1	ENSMUST00000027727	ENSMUSG00000026457	136309954	136311954
1	1	ENSMUST00000112237	ENSMUSG00000026457	136310032	136312032
1	1	ENSMUST00000148822	ENSMUSG00000026457	136310140	136312140
1	-1	ENSMUST00000067414	ENSMUSG00000009418	137329156	137331156
1	-1	ENSMUST00000040599	ENSMUSG00000009418	137329156	137331156
1	1	ENSMUST00000047817	ENSMUSG00000041498	138362534	138364534
1	-1	ENSMUST00000027642	ENSMUSG00000026393	140379290	140381290
1	-1	ENSMUST00000166904	ENSMUSG00000026393	140380283	140382283
1	1	ENSMUST00000170718	ENSMUSG00000026587	160290470	160292470
1	1	ENSMUST00000046110	ENSMUSG00000026587	160290470	160292470
1	-1	ENSMUST00000028049	ENSMUSG00000026721	162184702	162186702
1	-1	ENSMUST00000046632	ENSMUSG00000040225	164601532	164603532
1	-1	ENSMUST00000046646	ENSMUSG00000040225	164601532	164603532
1	-1	ENSMUST00000028016	ENSMUSG00000040225	164601532	164603532
1	-1	ENSMUST00000170800	ENSMUSG00000026674	171900438	171902438
1	-1	ENSMUST00000027985	ENSMUSG00000026674	171905934	171907934
1	1	ENSMUST00000075895	ENSMUSG00000003464	174054885	174056885
1	1	ENSMUST00000111252	ENSMUSG00000003464	174054892	174056892
1	-1	ENSMUST00000027812	ENSMUSG00000026527	176987866	176989866
1	-1	ENSMUST00000085853	ENSMUSG00000026527	176994771	176996771
1	1	ENSMUST00000027775	ENSMUSG00000026495	180334011	180336011
1	-1	ENSMUST00000128302	ENSMUSG00000055067	180880090	180882090
1	-1	ENSMUST00000111134	ENSMUSG00000055067	181323354	181325354
1	-1	ENSMUST00000111133	ENSMUSG00000055067	181339160	181341160
1	-1	ENSMUST00000068725	ENSMUSG00000073481	186634946	186636946
1	-1	ENSMUST00000161359	ENSMUSG00000073481	186635556	186637556
1	-1	ENSMUST00000161341	ENSMUSG00000073481	186635560	186637560
1	-1	ENSMUST00000162261	ENSMUSG00000073481	186635570	186637570
1	-1	ENSMUST00000162866	ENSMUSG00000073481	186635638	186637638
1	-1	ENSMUST00000159293	ENSMUSG00000073481	186641114	186643114
1	-1	ENSMUST00000161821	ENSMUSG00000073481	186644253	186646253
1	1	ENSMUST00000127489	ENSMUSG00000026610	189430669	189432669
1	1	ENSMUST00000110939	ENSMUSG00000026610	189430907	189432907
1	1	ENSMUST00000159273	ENSMUSG00000089683	195027232	195029232
1	1	ENSMUST00000162977	ENSMUSG00000089688	195031943	195033943
1	-1	ENSMUST00000070533	ENSMUSG00000051951	3202562	3204562
1	1	ENSMUST00000155020	ENSMUSG00000025903	4795972	4797972
1	1	ENSMUST00000081551	ENSMUSG00000033813	4845774	4847774
1	1	ENSMUST00000165720	ENSMUSG00000033813	4846408	4848408
1	-1	ENSMUST00000118000	ENSMUSG00000002459	4897656	4899656
1	-1	ENSMUST00000002533	ENSMUSG00000002459	4897656	4899656
1	-1	ENSMUST00000165589	ENSMUSG00000002459	4898050	4900050
1	-1	ENSMUST00000119256	ENSMUSG00000002459	4898482	4900482
1	-1	ENSMUST00000170566	ENSMUSG00000002459	4898554	4900554
1	-1	ENSMUST00000147158	ENSMUSG00000002459	4900422	4902422
1	-1	ENSMUST00000156289	ENSMUSG00000002459	4910608	4912608
1	1	ENSMUST00000044369	ENSMUSG00000033793	5071253	5073253
1	1	ENSMUST00000140079	ENSMUSG00000033740	6475311	6477311
1	1	ENSMUST00000131494	ENSMUSG00000033740	6475411	6477411
1	1	ENSMUST00000043578	ENSMUSG00000033740	6718131	6720131
1	1	ENSMUST00000150761	ENSMUSG00000033740	6718181	6720181
1	1	ENSMUST00000151281	ENSMUSG00000033740	6718182	6720182
1	1	ENSMUST00000163727	ENSMUSG00000033740	6725655	6727655
1	1	ENSMUST00000142304	ENSMUSG00000033740	6805680	6807680
1	-1	ENSMUST00000144593	ENSMUSG00000025909	8664053	8666053
1	-1	ENSMUST00000134075	ENSMUSG00000025909	8769611	8771611
1	-1	ENSMUST00000126083	ENSMUSG00000025909	8938652	8940652
1	-1	ENSMUST00000115480	ENSMUSG00000079671	9548912	9550912
1	-1	ENSMUST00000145176	ENSMUSG00000079671	9551585	9553585
1	1	ENSMUST00000166384	ENSMUSG00000025915	9786210	9788210
1	1	ENSMUST00000168907	ENSMUSG00000025915	9786210	9788210
1	1	ENSMUST00000097825	ENSMUSG00000025915	9786231	9788231
1	-1	ENSMUST00000124874	ENSMUSG00000025916	9956704	9958704
1	-1	ENSMUST00000147000	ENSMUSG00000025916	9956704	9958704
1	-1	ENSMUST00000027049	ENSMUSG00000025916	9956704	9958704
1	-1	ENSMUST00000130102	ENSMUSG00000025916	9956905	9958905
1	1	ENSMUST00000071087	ENSMUSG00000056763	10026298	10028298
1	1	ENSMUST00000163177	ENSMUSG00000056763	10034573	10036573
1	-1	ENSMUST00000140938	ENSMUSG00000042501	10583446	10585446
1	1	ENSMUST00000027056	ENSMUSG00000048960	10981545	10983545
1	1	ENSMUST00000088585	ENSMUSG00000016918	12706625	12708625
1	-1	ENSMUST00000115403	ENSMUSG00000025938	12854629	12856629
1	-1	ENSMUST00000115402	ENSMUSG00000025938	12859428	12861428
1	-1	ENSMUST00000136197	ENSMUSG00000025938	12866675	12868675
1	-1	ENSMUST00000147606	ENSMUSG00000025938	12867763	12869763
1	-1	ENSMUST00000146763	ENSMUSG00000025938	12867763	12869763
1	-1	ENSMUST00000115401	ENSMUSG00000025938	12932030	12934030
1	-1	ENSMUST00000171848	ENSMUSG00000025938	12963899	12965899
1	-1	ENSMUST00000047577	ENSMUSG00000042414	13101537	13103537
1	-1	ENSMUST00000081713	ENSMUSG00000005886	13127185	13129185
1	-1	ENSMUST00000068304	ENSMUSG00000005886	13127239	13129239
1	-1	ENSMUST00000006037	ENSMUSG00000005886	13130555	13132555
1	-1	ENSMUST00000147927	ENSMUSG00000005886	13152581	13154581
1	-1	ENSMUST00000143603	ENSMUSG00000005886	13154005	13156005
1	-1	ENSMUST00000139970	ENSMUSG00000005886	13170364	13172364
1	-1	ENSMUST00000124088	ENSMUSG00000005886	13172686	13174686
1	-1	ENSMUST00000145280	ENSMUSG00000005886	13178186	13180186
1	-1	ENSMUST00000027066	ENSMUSG00000025932	14157034	14159034
1	-1	ENSMUST00000168081	ENSMUSG00000025932	14157746	14159746
1	1	ENSMUST00000171715	ENSMUSG00000092083	15300532	15302532
1	-1	ENSMUST00000040695	ENSMUSG00000032719	15841942	15843942
1	1	ENSMUST00000027053	ENSMUSG00000025921	16093854	16095854
1	1	ENSMUST00000152626	ENSMUSG00000025921	16118582	16120582
1	-1	ENSMUST00000162751	ENSMUSG00000025920	16216754	16218754
1	-1	ENSMUST00000054668	ENSMUSG00000025920	16216881	16218881
1	-1	ENSMUST00000162627	ENSMUSG00000025920	16216884	16218884
1	-1	ENSMUST00000027052	ENSMUSG00000025920	16216890	16218890
1	-1	ENSMUST00000162435	ENSMUSG00000025920	16216896	16218896
1	1	ENSMUST00000160446	ENSMUSG00000089982	16241672	16243672
1	-1	ENSMUST00000159558	ENSMUSG00000025920	16331487	16333487
1	-1	ENSMUST00000128957	ENSMUSG00000025920	16331566	16333566
1	-1	ENSMUST00000131257	ENSMUSG00000025920	16331651	16333651
1	-1	ENSMUST00000162007	ENSMUSG00000025920	16332371	16334371
1	-1	ENSMUST00000127420	ENSMUSG00000025920	16332379	16334379
1	-1	ENSMUST00000149320	ENSMUSG00000025920	16333674	16335674
1	-1	ENSMUST00000116646	ENSMUSG00000025920	16333774	16335774
1	-1	ENSMUST00000115352	ENSMUSG00000079658	16630846	16632846
1	-1	ENSMUST00000038382	ENSMUSG00000042686	16985544	16987544
1	-1	ENSMUST00000155588	ENSMUSG00000085125	17664107	17666107
1	-1	ENSMUST00000127328	ENSMUSG00000085125	17680984	17682984
1	1	ENSMUST00000037294	ENSMUSG00000042596	19091102	19093102
1	1	ENSMUST00000149505	ENSMUSG00000042596	19095261	19097261
1	-1	ENSMUST00000060305	ENSMUSG00000043760	20045859	20047859
1	-1	ENSMUST00000088448	ENSMUSG00000043760	20045859	20047859
1	1	ENSMUST00000027067	ENSMUSG00000025934	21228669	21230669
1	1	ENSMUST00000121676	ENSMUSG00000025934	21228687	21230687
1	1	ENSMUST00000124990	ENSMUSG00000025934	21228709	21230709
1	-1	ENSMUST00000029667	ENSMUSG00000028033	21386483	21388483
1	-1	ENSMUST00000115300	ENSMUSG00000028033	21386488	21388488
1	-1	ENSMUST00000166949	ENSMUSG00000028033	21390243	21392243
1	-1	ENSMUST00000173404	ENSMUSG00000028033	21390243	21392243
1	-1	ENSMUST00000174183	ENSMUSG00000028033	21390243	21392243
1	-1	ENSMUST00000173058	ENSMUSG00000028033	21390243	21392243
1	-1	ENSMUST00000115299	ENSMUSG00000028033	21454325	21456325
1	-1	ENSMUST00000134505	ENSMUSG00000028033	21565724	21567724
1	-1	ENSMUST00000081544	ENSMUSG00000041670	22274331	22276331
1	-1	ENSMUST00000115273	ENSMUSG00000041670	22274331	22276331
1	-1	ENSMUST00000097809	ENSMUSG00000041670	22274331	22276331
1	-1	ENSMUST00000097810	ENSMUSG00000041670	22274331	22276331
1	-1	ENSMUST00000097811	ENSMUSG00000041670	22274331	22276331
1	-1	ENSMUST00000164877	ENSMUSG00000041670	22274995	22276995
1	-1	ENSMUST00000097808	ENSMUSG00000041670	22361426	22363426
1	-1	ENSMUST00000088389	ENSMUSG00000041670	22601254	22603254
1	1	ENSMUST00000063663	ENSMUSG00000026156	23766764	23768764
1	-1	ENSMUST00000149737	ENSMUSG00000026155	23849684	23851684
1	-1	ENSMUST00000027339	ENSMUSG00000026155	23850463	23852463
1	-1	ENSMUST00000129254	ENSMUSG00000026155	23851134	23853134
1	1	ENSMUST00000054588	ENSMUSG00000026147	24182448	24184448
1	1	ENSMUST00000084261	ENSMUSG00000026147	24182560	24184560
1	1	ENSMUST00000088349	ENSMUSG00000026147	24200025	24202025
1	1	ENSMUST00000115252	ENSMUSG00000026147	24200218	24202218
1	-1	ENSMUST00000144297	ENSMUSG00000026141	24266728	24268728
1	-1	ENSMUST00000115244	ENSMUSG00000026141	24268832	24270832
1	-1	ENSMUST00000051344	ENSMUSG00000026141	24284608	24286608
1	1	ENSMUST00000095062	ENSMUSG00000073725	24683382	24685382
1	-1	ENSMUST00000097801	ENSMUSG00000073722	26736645	26738645
1	-1	ENSMUST00000059937	ENSMUSG00000048411	28830988	28832988
1	-1	ENSMUST00000115161	ENSMUSG00000042182	33906896	33908896
1	-1	ENSMUST00000129464	ENSMUSG00000042182	33906896	33908896
1	-1	ENSMUST00000062289	ENSMUSG00000042182	33906896	33908896
1	-1	ENSMUST00000171943	ENSMUSG00000042182	33906899	33908899
1	1	ENSMUST00000088270	ENSMUSG00000026131	33963124	33965124
1	1	ENSMUST00000088216	ENSMUSG00000026131	34066669	34068669
1	1	ENSMUST00000115104	ENSMUSG00000026131	34066669	34068669
1	1	ENSMUST00000097789	ENSMUSG00000026131	34066669	34068669
1	1	ENSMUST00000097786	ENSMUSG00000026131	34066669	34068669
1	1	ENSMUST00000097785	ENSMUSG00000026131	34066669	34068669
1	1	ENSMUST00000115102	ENSMUSG00000026131	34176475	34178475
1	1	ENSMUST00000159747	ENSMUSG00000037509	34776768	34778768
1	1	ENSMUST00000162599	ENSMUSG00000037509	34786959	34788959
1	1	ENSMUST00000047664	ENSMUSG00000037509	34856548	34858548
1	1	ENSMUST00000162760	ENSMUSG00000037509	34856565	34858565
1	1	ENSMUST00000160855	ENSMUSG00000037509	34856585	34858585
1	1	ENSMUST00000097776	ENSMUSG00000001138	36566711	36568711
1	1	ENSMUST00000001166	ENSMUSG00000001138	36566711	36568711
1	1	ENSMUST00000027291	ENSMUSG00000026117	36816694	36818694
1	-1	ENSMUST00000027290	ENSMUSG00000026116	36847035	36849035
1	1	ENSMUST00000117172	ENSMUSG00000050122	37081440	37083440
1	1	ENSMUST00000124404	ENSMUSG00000050122	37084148	37086148
1	1	ENSMUST00000067178	ENSMUSG00000050122	37084160	37086160
1	1	ENSMUST00000162449	ENSMUSG00000050122	37084228	37086228
1	1	ENSMUST00000027289	ENSMUSG00000026115	37208688	37210688
1	1	ENSMUST00000169057	ENSMUSG00000026115	37208693	37210693
1	-1	ENSMUST00000027286	ENSMUSG00000026112	37471928	37473928
1	-1	ENSMUST00000041815	ENSMUSG00000060771	37809416	37811416
1	-1	ENSMUST00000114903	ENSMUSG00000060771	37809620	37811620
1	-1	ENSMUST00000114902	ENSMUSG00000060771	37815667	37817667
1	-1	ENSMUST00000088072	ENSMUSG00000060771	37815667	37817667
1	-1	ENSMUST00000151735	ENSMUSG00000060771	37856307	37858307
1	1	ENSMUST00000129513	ENSMUSG00000087374	37988440	37990440
1	-1	ENSMUST00000027254	ENSMUSG00000026085	38001580	38003580
1	-1	ENSMUST00000114894	ENSMUSG00000026085	38001582	38003582
1	-1	ENSMUST00000027251	ENSMUSG00000026082	38107631	38109631
1	-1	ENSMUST00000095027	ENSMUSG00000037138	38232170	38234170
1	-1	ENSMUST00000169636	ENSMUSG00000037138	38232171	38234171
1	-1	ENSMUST00000039827	ENSMUSG00000037138	38232171	38234171
1	-1	ENSMUST00000142875	ENSMUSG00000037138	38234087	38236087
1	-1	ENSMUST00000027250	ENSMUSG00000037138	38390275	38392275
1	-1	ENSMUST00000134963	ENSMUSG00000037138	38590003	38592003
1	-1	ENSMUST00000027249	ENSMUSG00000026080	38918721	38920721
1	-1	ENSMUST00000064410	ENSMUSG00000026080	38924987	38926987
1	1	ENSMUST00000173050	ENSMUSG00000026077	39248575	39250575
1	1	ENSMUST00000056815	ENSMUSG00000026077	39249056	39251056
1	-1	ENSMUST00000054462	ENSMUSG00000003134	39426343	39428343
1	1	ENSMUST00000168512	ENSMUSG00000026074	39955757	39957757
1	1	ENSMUST00000168431	ENSMUSG00000026074	39955757	39957757
1	1	ENSMUST00000163854	ENSMUSG00000026074	39955757	39957757
1	1	ENSMUST00000027244	ENSMUSG00000026074	39956024	39958024
1	1	ENSMUST00000027241	ENSMUSG00000026072	40279924	40281924
1	1	ENSMUST00000114795	ENSMUSG00000026072	40321430	40323430
1	1	ENSMUST00000174335	ENSMUSG00000026069	40484414	40486414
1	1	ENSMUST00000097772	ENSMUSG00000026069	40494471	40496471
1	1	ENSMUST00000173514	ENSMUSG00000026069	40494620	40496620
1	1	ENSMUST00000053043	ENSMUSG00000026069	40495472	40497472
1	1	ENSMUST00000027231	ENSMUSG00000026062	40736556	40738556
1	-1	ENSMUST00000095014	ENSMUSG00000070939	43102113	43104113
1	1	ENSMUST00000136648	ENSMUSG00000066877	43500595	43502595
1	1	ENSMUST00000114744	ENSMUSG00000066877	43500595	43502595
1	1	ENSMUST00000086421	ENSMUSG00000066877	43500595	43502595
1	1	ENSMUST00000124817	ENSMUSG00000066877	43512117	43514117
1	-1	ENSMUST00000065767	ENSMUSG00000026047	44161390	44163390
1	-1	ENSMUST00000141125	ENSMUSG00000026047	44161729	44163729
1	-1	ENSMUST00000027213	ENSMUSG00000026047	44161731	44163731
1	-1	ENSMUST00000149665	ENSMUSG00000026047	44166927	44168927
1	1	ENSMUST00000074525	ENSMUSG00000056870	44606355	44608355
1	1	ENSMUST00000159555	ENSMUSG00000056870	44606537	44608537
1	1	ENSMUST00000160854	ENSMUSG00000056870	44606537	44608537
1	1	ENSMUST00000161793	ENSMUSG00000056870	44606571	44608571
1	1	ENSMUST00000161066	ENSMUSG00000056870	44607441	44609441
1	1	ENSMUST00000162600	ENSMUSG00000056870	44743988	44745988
1	-1	ENSMUST00000086430	ENSMUSG00000026042	45429165	45431165
1	-1	ENSMUST00000114615	ENSMUSG00000026042	45430632	45432632
1	-1	ENSMUST00000134681	ENSMUSG00000026042	45469043	45471043
1	1	ENSMUST00000027139	ENSMUSG00000025995	45850010	45852010
1	1	ENSMUST00000154436	ENSMUSG00000025995	45850293	45852293
1	1	ENSMUST00000169703	ENSMUSG00000025995	45850310	45852310
1	1	ENSMUST00000143737	ENSMUSG00000025995	45856833	45858833
1	1	ENSMUST00000135662	ENSMUSG00000025995	45869522	45871522
1	1	ENSMUST00000114565	ENSMUSG00000026109	50964805	50966805
1	1	ENSMUST00000081851	ENSMUSG00000026109	50982362	50984362
1	1	ENSMUST00000114567	ENSMUSG00000026109	50982791	50984791
1	-1	ENSMUST00000046390	ENSMUSG00000018417	51804608	51806608
1	-1	ENSMUST00000114537	ENSMUSG00000018417	51804825	51806825
1	-1	ENSMUST00000114541	ENSMUSG00000018417	51804832	51806832
1	-1	ENSMUST00000018561	ENSMUSG00000018417	51804837	51806837
1	-1	ENSMUST00000144694	ENSMUSG00000018417	51852246	51854246
1	-1	ENSMUST00000151525	ENSMUSG00000018417	51865524	51867524
1	-1	ENSMUST00000123299	ENSMUSG00000018417	51889307	51891307
1	1	ENSMUST00000165859	ENSMUSG00000043015	52685548	52687548
1	1	ENSMUST00000087708	ENSMUSG00000043015	52685638	52687638
1	1	ENSMUST00000159352	ENSMUSG00000041426	52899856	52901856
1	1	ENSMUST00000044478	ENSMUSG00000041426	52899889	52901889
1	1	ENSMUST00000159431	ENSMUSG00000041426	52919932	52921932
1	-1	ENSMUST00000027267	ENSMUSG00000026098	53244030	53246030
1	-1	ENSMUST00000135246	ENSMUSG00000026098	53251955	53253955
1	-1	ENSMUST00000142922	ENSMUSG00000026098	53317738	53319738
1	-1	ENSMUST00000128337	ENSMUSG00000026098	53322706	53324706
1	-1	ENSMUST00000126590	ENSMUSG00000026098	53329986	53331986
1	-1	ENSMUST00000126412	ENSMUSG00000026098	53336790	53338790
1	-1	ENSMUST00000087677	ENSMUSG00000067440	53602022	53604022
1	-1	ENSMUST00000087659	ENSMUSG00000042807	53861725	53863725
1	-1	ENSMUST00000120904	ENSMUSG00000042807	53866018	53868018
1	-1	ENSMUST00000097741	ENSMUSG00000042807	53985656	53987656
1	-1	ENSMUST00000146850	ENSMUSG00000042807	53996339	53998339
1	1	ENSMUST00000027128	ENSMUSG00000025983	54305526	54307526
1	1	ENSMUST00000160472	ENSMUSG00000025983	54305565	54307565
1	1	ENSMUST00000163072	ENSMUSG00000025983	54384835	54386835
1	-1	ENSMUST00000044359	ENSMUSG00000052331	54700183	54702183
